Track name,Artist name,Album,Playlist name,Type,ISRC
"Ganja White Night x Truth - Bassline Don | Music video | Animation","","","Liked videos","Favorite",""
"OGTAPE3: Mothership Propagation - by Count Slobo","","","Liked videos","Favorite",""
"Birdy Nam Nam - Goin' In (Skrillex ""Goin' Down"" Remix)","","","Liked videos","Favorite",""
"Birdy Nam Nam - Goin' in (Skrillex ""Goin Hard"" Remix) [Official Music Video]","","","Liked videos","Favorite",""
"Skrillex - Father Said","","","Liked videos","Favorite",""
"F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!!","","","Liked videos","Favorite",""
"Hekler - Frequency Jammer (DUBSTEP)","","","Liked videos","Favorite",""
"Puscifer - ""Postulous (Re-Imagined by Phantogram)"" - (Official Music Video)","","","Liked videos","Favorite",""
"ISOxo · Julian Isorena - MOONSPELL","","","Liked videos","Favorite",""
"ISOxo - inhuman","","","Liked videos","Favorite",""
"Jauz · Masked Wolf - Mercy","","","Liked videos","Favorite",""
"Knife Party - Bonfire","","","Liked videos","Favorite",""
"PEEKABOO - Bumpy Road","","","Liked videos","Favorite",""
"Apashe · InstaSamka - Uebok (VIP)","","","Liked videos","Favorite",""
"HOL! - VAMPIRE","","","Liked videos","Favorite",""
"Aphex Twin - 180db_ [130]","","","Liked videos","Favorite",""
"Boards of Canada - Everything You Do Is A Balloon","","","Liked videos","Favorite",""
"Boards of Canada - Music Is Math","","","Liked videos","Favorite",""
"Aphex Twin - Alberto Balsalm","","","Liked videos","Favorite",""
"Grizzly Bear - gun-shy","","","Liked videos","Favorite",""
"Grizzly Bear - Yet Again","","","Liked videos","Favorite",""
"We Are Not Friends · Nextime · Nextime · Nextime - rot away","","","Liked videos","Favorite",""
"Aesop Rock - None Shall Pass","","","Liked videos","Favorite",""
"Dutch Interior - I'll Be Damned","","","Liked videos","Favorite",""
"yoursxm · visual7 - breakup voicemail x call me","","","Liked videos","Favorite",""
"Quality Control · Lil Baby · DaBaby - Baby","","","Liked videos","Favorite",""
"Rezz · Grabbitz - Signal","","","Liked videos","Favorite",""
"WHIPPED CREAM - Lost My Way","","","Liked videos","Favorite",""
"U$ELE$S · Cappha - Mind Reader","","","Liked videos","Favorite",""
"DROELOE - Terminal Velocity","","","Liked videos","Favorite",""
"Flume · Moon Holiday - Insane","","","Liked videos","Favorite",""
"Virtual Self - ANGEL VOICES","","","Liked videos","Favorite",""
"Lane 8 · Virtual Self - Ghost Voices (Lane 8 Remix)","","","Liked videos","Favorite",""
"Fever Ray - If I Had A Heart","","","Liked videos","Favorite",""
"America - A Horse with No Name","","","Liked videos","Favorite",""
"Michael Jackson - Money (Improved Acapella)","","","Liked videos","Favorite",""
"Michael jackson unbreakable acapella","","","Liked videos","Favorite",""
"Sons Of Kemet, Joshua Idehen - Field Negus (Audio)","","","Liked videos","Favorite",""
"Bill Koomsa Sr. - Old Kiowa War Dance Song","","","Liked videos","Favorite",""
"Polyphia · Steve Vai - Ego Death (feat. Steve Vai)","","","Liked videos","Favorite",""
"ATLiens - comingforyou [Official Audio]","","","Liked videos","Favorite",""
"Sons Of Kemet - For The Culture (Audio) ft. D Double E","","","Liked videos","Favorite",""
"Manuel Gardner Fernandes · LEVY - Guitar 2.0","","","Liked videos","Favorite",""
"Kendrick Lamar -  The Heart Part 5 ACAPELLA (Vocals Only)","","","Liked videos","Favorite",""
"Kendrick Lamar - reincarnated (ACAPELLA) Vocals Only","","","Liked videos","Favorite",""
"Nirvana - Something In The Way (Vocal and Cello Only)","","","Liked videos","Favorite",""
"Nirvana - You Know You're Right VOCALS ONLY","","","Liked videos","Favorite",""
"Puscifer - ""Fake Affront - Re-Imagined by Gunnar Olsen"" (Visualizer)","","","Liked videos","Favorite",""
"Puscifer - ""Momma Sed"" from ""V is for Versatile"" (Official Music Video)","","","Liked videos","Favorite",""
