tick,phi_total,threat_delta,pc_N,wormhole_P,omega_coherency,omega_entangle,omega_novelty,ring_state,continuity_ok,action
0,0.9268,0.2227,0.6309,0.4417,0.5367,0.754,0.2755,0.0,True,REWRITE:Ω_FRAME
1,0.9226,0.2087,0.9736,0.961,1.0696,1.4847,0.5215,0.0429,True,REWRITE:Ω_FRAME
2,0.9291,0.0803,0.8386,0.995,1.563,2.168,0.8042,0.161,False,REWRITE:Ω_FRAME
3,0.9301,0.2281,0.9336,1.0,2.0429,2.9038,1.084,0.1856,True,REWRITE:Ω_FRAME
4,0.9322,0.0274,0.6936,0.9117,2.5202,3.6242,1.42,0.2632,True,REWRITE:Ω_FRAME
5,0.9342,0.2332,1.0341,0.9994,2.9977,4.3343,1.6613,0.3166,True,REWRITE:Ω_FRAME
6,0.9394,0.0155,0.6142,0.1459,3.4869,4.9674,1.9446,0.4069,True,REWRITE:Ω_FRAME
7,0.9519,0.284,0.8261,0.8433,3.9707,5.6515,2.3439,0.5016,True,REWRITE:Ω_FRAME
8,0.9484,0.0529,0.6976,0.9635,4.4617,6.2915,2.6553,0.4855,True,REWRITE:Ω_FRAME
9,0.9491,0.0154,0.8653,0.999,4.9607,7.0006,2.9143,0.5501,True,REWRITE:Ω_FRAME
10,0.9254,0.2753,0.5262,0.7145,5.5292,7.7368,3.2198,0.5562,True,REWRITE:Ω_FRAME
11,0.951,0.0932,0.9532,0.2272,5.989,8.4124,3.5504,0.6104,True,REWRITE:Ω_FRAME
12,0.9296,0.0779,0.4984,0.6778,6.5187,9.0699,3.8446,0.5996,True,REWRITE:Ω_FRAME
13,0.9561,0.1185,0.7755,0.0413,6.9737,9.7621,4.2455,0.6139,True,REWRITE:Ω_FRAME
14,0.9535,0.007,0.759,0.2327,7.4886,10.4251,4.6212,0.6251,True,REWRITE:Ω_FRAME
15,0.96,0.1278,0.7196,0.8893,7.9681,11.0756,4.9119,0.6401,True,REWRITE:Ω_FRAME
16,0.9304,0.0409,0.4584,0.3252,8.3788,11.8481,5.2613,0.6587,True,REWRITE:Ω_FRAME
17,0.9577,0.0515,0.8397,0.4144,8.8493,12.5599,5.4814,0.6476,True,REWRITE:Ω_FRAME
18,0.9394,0.09,0.4433,0.1269,9.4007,13.237,5.8163,0.6369,True,REWRITE:Ω_FRAME
19,0.9605,0.1466,0.8138,0.6441,9.8852,13.9201,6.1081,0.6605,True,REWRITE:Ω_FRAME
20,0.9578,0.0136,0.6858,0.4915,10.373,14.6528,6.38,0.7036,True,REWRITE:Ω_FRAME
21,0.9465,0.0996,0.6766,0.9955,10.8895,15.3633,6.6855,0.7346,True,REWRITE:Ω_FRAME
22,0.9082,0.0323,0.4193,0.9549,11.3523,16.0295,7.0284,0.7117,True,REWRITE:Ω_FRAME
23,0.9329,0.1697,0.8517,0.9969,11.7878,16.7946,7.4152,0.684,True,REWRITE:Ω_FRAME
24,0.9018,0.1861,0.5076,0.5107,12.2814,17.4174,7.7757,0.725,True,REWRITE:Ω_FRAME
25,0.9208,0.014,0.6453,0.9662,12.7507,18.1203,8.1234,0.7669,True,REWRITE:Ω_FRAME
26,0.8963,0.0254,0.5649,0.6614,13.1893,18.8663,8.4477,0.7603,True,REWRITE:Ω_FRAME
27,0.9259,0.0765,0.7396,0.8737,13.7077,19.5351,8.7756,0.7442,True,REWRITE:Ω_FRAME
28,0.9017,0.2419,0.393,0.9932,14.2096,20.1954,9.084,0.7115,True,REWRITE:Ω_FRAME
29,0.9171,0.0239,0.893,0.9753,14.73,20.9546,9.3998,0.7632,True,REWRITE:Ω_FRAME
30,0.8902,0.0561,0.386,0.5963,15.2054,21.6394,9.6648,0.8101,True,REWRITE:Ω_FRAME
31,0.9277,0.0937,0.6311,0.8497,15.6964,22.3838,9.929,0.7936,True,REWRITE:Ω_FRAME
32,0.9237,0.1527,0.6048,0.8551,16.2535,23.0383,10.2035,0.8178,True,REWRITE:Ω_FRAME
33,0.9215,0.044,0.6,0.92,16.7698,23.6822,10.5068,0.8421,True,REWRITE:Ω_FRAME
34,0.9153,0.0135,0.5955,0.6661,17.2299,24.3785,10.8262,0.8606,True,REWRITE:Ω_FRAME
35,0.9163,0.069,0.792,0.9983,17.7394,25.0688,11.1572,0.8936,True,REWRITE:Ω_FRAME
36,0.9071,0.007,0.3684,0.7876,18.1991,25.7672,11.4392,0.9416,True,REWRITE:Ω_FRAME
37,0.9349,0.007,0.5829,0.9008,18.6876,26.409,11.7755,0.989,True,REWRITE:Ω_FRAME
38,0.9109,0.0086,0.579,0.6393,19.1664,27.1576,12.1017,0.9441,True,REWRITE:Ω_FRAME
39,0.9323,0.009,0.7424,0.18,19.7162,27.8918,12.414,0.9439,True,REWRITE:Ω_FRAME
40,0.916,0.2507,0.3588,0.9173,20.1567,28.6159,12.6952,0.8966,True,REWRITE:Ω_FRAME
41,0.9372,0.0344,0.8179,0.2719,20.6774,29.3275,12.9773,0.9389,True,REWRITE:Ω_FRAME
42,0.9152,0.003,0.3545,0.5978,21.2636,30.0212,13.3034,0.9235,True,REWRITE:Ω_FRAME
43,0.9455,0.0262,0.6571,0.9986,21.7588,30.7925,13.5736,0.9976,True,REWRITE:Ω_FRAME
44,0.9465,0.0645,0.6534,0.9894,22.2244,31.4352,13.8834,1.0304,True,REWRITE:Ω_FRAME
45,0.9234,0.1642,0.5555,0.999,22.7433,32.0962,14.2236,1.031,True,REWRITE:Ω_FRAME
46,0.9253,0.0595,0.3468,0.0109,23.303,32.8813,14.5289,1.0338,True,REWRITE:Ω_FRAME
